Crack_Length_mm,KI,KII,KIII
7,6.1477,5.1219,4.8352
7,5.9646,4.9473,4.8003
7,6.1134,4.9593,5.0308
7,6.2622,4.9712,5.2613
7.5,6.524,5.4047,5.2168
7.5,6.5015,5.3969,5.21
7.5,6.479,5.389,5.2033
7.5,6.4493,5.4282,5.2494
7.5,6.4196,5.4674,5.2956
7.5,6.4411,5.5074,5.3016
7.5,6.4627,5.5474,5.3076
7.5,6.5755,5.5242,5.2027
7.5,6.6884,5.5009,5.0979
7.5,6.495,5.3196,5.0614
7.5,6.3015,5.1383,5.0248
7.5,6.4588,5.1507,5.2661
7.5,6.616,5.1631,5.5074
8,6.8819,5.6039,5.4514
8,6.8581,5.5957,5.4443
8,6.8344,5.5876,5.4372
8,6.8031,5.6282,5.4855
8,6.7717,5.6689,5.5337
8,6.7945,5.7103,5.54
8,6.8172,5.7518,5.5463
8,6.9362,5.7277,5.4367
8,7.0553,5.7036,5.3271
8,6.8512,5.5156,5.289
8,6.6472,5.3276,5.2508
8,6.813,5.3405,5.5029
8,6.9789,5.3534,5.7551
8.5,7.2498,5.8023,5.688
8.5,7.2247,5.7939,5.6806
8.5,7.1997,5.7855,5.6732
8.5,7.1667,5.8276,5.7235
8.5,7.1338,5.8696,5.7739
8.5,7.1577,5.9126,5.7804
8.5,7.1816,5.9555,5.7869
8.5,7.307,5.9305,5.6726
8.5,7.4325,5.9056,5.5583
8.5,7.2175,5.7109,5.5185
8.5,7.0025,5.5163,5.4787
8.5,7.1773,5.5296,5.7417
8.5,7.352,5.543,6.0048
9,7.6288,6.0012,5.9268
9,7.6025,5.9925,5.9191
9,7.5761,5.9838,5.9114
9,7.5414,6.0273,5.9639
9,7.5067,6.0708,6.0163
9,7.5319,6.1152,6.0231
9,7.5571,6.1596,6.03
9,7.6891,6.1338,5.9108
9,7.821,6.108,5.7917
9,7.5948,5.9066,5.7502
9,7.3686,5.7053,5.7087
9,7.5525,5.7191,5.9828
9,7.7364,5.7329,6.257
9.5,8.0201,6.2015,6.1683
9.5,7.9924,6.1925,6.1603
9.5,7.9647,6.1835,6.1523
9.5,7.9282,6.2285,6.2069
9.5,7.8917,6.2734,6.2615
9.5,7.9182,6.3193,6.2686
9.5,7.9447,6.3652,6.2757
9.5,8.0834,6.3386,6.1517
9.5,8.2222,6.3119,6.0277
9.5,7.9844,6.1038,5.9845
9.5,7.7466,5.8958,5.9413
9.5,7.9399,5.91,6.2266
9.5,8.1331,5.9243,6.5119
10,8.4248,6.4045,6.4127
10,8.3957,6.3952,6.4044
10,8.3667,6.3859,6.396
10,8.3283,6.4323,6.4528
10,8.29,6.4788,6.5095
10,8.3178,6.5262,6.5169
10,8.3456,6.5735,6.5243
10,8.4913,6.546,6.3954
10,8.6371,6.5185,6.2665
10,8.3873,6.3036,6.2216
10,8.1375,6.0887,6.1767
10,8.3405,6.1035,6.4733
10,8.5436,6.1182,6.7699
10.5,8.8442,6.6113,6.6602
10.5,8.8137,6.6017,6.6515
10.5,8.7832,6.5921,6.6429
10.5,8.743,6.64,6.7018
10.5,8.7027,6.688,6.7608
10.5,8.7319,6.7369,6.7684
10.5,8.7611,6.7858,6.7761
10.5,8.9141,6.7574,6.6422
10.5,9.0671,6.729,6.5083
10.5,8.8049,6.5072,6.4617
10.5,8.5426,6.2853,6.4151
10.5,8.7558,6.3006,6.7231
10.5,8.9689,6.3158,7.0312
11,9.2798,6.8232,6.911
11,9.2478,6.8133,6.902
